"Sample","Filename","Group","Timepoint","Batch"
"YAD5 ZT10 HC1 BAT","yaa2025_L20250601-1_193_S79_rawCounts","Control","zt_10","1"
"YAD3 ZT10 HC5 BAT","yaa2025_L20250601-1_194_S92_rawCounts","Control","zt_10","1"
"YAD3 ZT10 HC1 BAT","yaa2025_L20250601-1_195_S41_rawCounts","Control","zt_10","1"
"YAD7 ZT10 HC12","yaa2025_L20250601-1_196_S5_rawCounts","Control","zt_10","1"
"YAD7 ZT10 HC13","yaa2025_L20250601-1_197_S33_rawCounts","Control","zt_10","1"
"YAD3 ZT10 C2 BAT","yaa2025_L20250601-1_198_S32_rawCounts","CMVS","zt_10","1"
"YAD4 ZT10 C2 BAT","yaa2025_L20250601-1_199_S38_rawCounts","CMVS","zt_10","1"
"YAD3 ZT10 C3 BAT","yaa2025_L20250601-1_200_S45_rawCounts","CMVS","zt_10","1"
"YAD4 ZT10 C1 BAT","yaa2025_L20250601-1_201_S51_rawCounts","CMVS","zt_10","1"
"YAD5 ZT10 C1 BAT","yaa2025_L20250601-1_202_S89_rawCounts","CMVS","zt_10","1"
"YAD3 ZT10 E1 BAT","yaa2025_L20250601-1_203_S96_rawCounts","CSDS","zt_10","1"
"YAD4 ZT10 E7 BAT","yaa2025_L20250601-1_204_S72_rawCounts","CSDS","zt_10","1"
"YAD4 ZT10 E9 BAT","yaa2025_L20250601-1_205_S78_rawCounts","CSDS","zt_10","1"
"YAD3 ZT10 E3 BAT","yaa2025_L20250601-1_206_S91_rawCounts","CSDS","zt_10","1"
"YAD5 ZT10 E4 BAT","yaa2025_L20250601-1_207_S85_rawCounts","CSDS","zt_10","1"
"YAD5 ZT10 E2 BAT","yaa2025_L20250601-1_208_S3_rawCounts","CSDS","zt_10","1"
"YAD4 ZT2 HC8 BAT","yaa2025_L20250601-1_209_S88_rawCounts","Control","zt_2","1"
"YAD3 ZT2 HC7 BAT","yaa2025_L20250601-1_210_S7_rawCounts","Control","zt_2","1"
"YAD4 ZT2 HC7 BAT","yaa2025_L20250601-1_211_S12_rawCounts","Control","zt_2","1"
"YAD8 ZT2 HC2 BAT","yaa2025_L20250601-1_212_S50_rawCounts","Control","zt_2","1"
"YAD8 ZT2 HC3 BAT","yaa2025_L20250601-1_213_S20_rawCounts","Control","zt_2","1"
"YAD4 ZT2 C4 BAT","yaa2025_L20250601-1_214_S66_rawCounts","CMVS","zt_2","1"
"YAD4 ZT2 C7 BAT","yaa2025_L20250601-1_215_S60_rawCounts","CMVS","zt_2","1"
"YAD4 ZT2 C8 BAT","yaa2025_L20250601-1_216_S47_rawCounts","CMVS","zt_2","1"
"YAD8 ZT2 C8 BAT","yaa2025_L20250601-1_217_S1_rawCounts","CMVS","zt_2","1"
"YAD8 ZT2 C4 BAT","yaa2025_L20250601-1_218_S23_rawCounts","CMVS","zt_2","1"
"YAD3 ZT2 E22 BAT","yaa2025_L20250601-1_219_S87_rawCounts","CSDS","zt_2","1"
"YAD3 ZT2 E13 BAT","yaa2025_L20250601-1_220_S6_rawCounts","CSDS","zt_2","1"
"YAD8 ZT2 E12 scW","yaa2025_L20250601-1_221_S13_rawCounts","CSDS","zt_2","1"
"YAD4 ZT2 E12 BAT","yaa2025_L20250601-1_222_S57_rawCounts","CSDS","zt_2","1"
"yad4 ZT2 E24 BAT","yaa2025_L20250601-1_223_S19_rawCounts","CSDS","zt_2","1"
