"Sample","Filename","Group","Timepoint","Batch"
"YAD5 ZT10 HC1 scW","yaa2025_L20250601-1_001_S269_rawCounts","Control","zt_10","1"
"YAD3 ZT10 HC5 scW","yaa2025_L20250601-1_002_S282_rawCounts","Control","zt_10","1"
"YAD3 ZT10 HC1 scW old","yaa2025_L20250601-1_003_S231_rawCounts","Control","zt_10","1"
"YAD7 ZT10 HC12","yaa2025_L20250601-1_004_S195_rawCounts","Control","zt_10","1"
"YAD7 ZT10 HC13","yaa2025_L20250601-1_005_S223_rawCounts","Control","zt_10","1"
"YAD3 ZT10 C2 scW","yaa2025_L20250601-1_006_S222_rawCounts","CMVS","zt_10","1"
"YAD4 ZT10 C2 scW","yaa2025_L20250601-1_007_S228_rawCounts","CMVS","zt_10","1"
"YAD3 ZT10 C3 scW","yaa2025_L20250601-1_008_S235_rawCounts","CMVS","zt_10","1"
"YAD4 ZT10 C1 scW","yaa2025_L20250601-1_009_S241_rawCounts","CMVS","zt_10","1"
"YAD5 ZT10 C1 scW","yaa2025_L20250601-1_010_S279_rawCounts","CMVS","zt_10","1"
"YAD3 ZT10 E1 scW","yaa2025_L20250601-1_011_S286_rawCounts","CSDS","zt_10","1"
"YAD4 ZT10 E7 scW","yaa2025_L20250601-1_012_S262_rawCounts","CSDS","zt_10","1"
"YAD4 ZT10 E9 scW","yaa2025_L20250601-1_013_S268_rawCounts","CSDS","zt_10","1"
"YAD3 ZT10 E3 scW","yaa2025_L20250601-1_014_S281_rawCounts","CSDS","zt_10","1"
"YAD5 ZT10 E4 scW","yaa2025_L20250601-1_015_S275_rawCounts","CSDS","zt_10","1"
"YAD4 ZT2 HC8 scW","yaa2025_L20250601-1_017_S278_rawCounts","Control","zt_2","1"
"YAD3 ZT2 HC7 scW","yaa2025_L20250601-1_018_S197_rawCounts","Control","zt_2","1"
"YAD4 ZT2 HC7 scW","yaa2025_L20250601-1_019_S202_rawCounts","Control","zt_2","1"
"YAD8 ZT2 HC2 scW","yaa2025_L20250601-1_020_S240_rawCounts","Control","zt_2","1"
"YAD8 ZT2 HC3 scW","yaa2025_L20250601-1_021_S210_rawCounts","Control","zt_2","1"
"YAD4 ZT2 C4 scW","yaa2025_L20250601-1_022_S256_rawCounts","CMVS","zt_2","1"
"YAD4 ZT2 C7 scW NEW","yaa2025_L20250601-1_023_S250_rawCounts","CMVS","zt_2","1"
"YAD4 ZT2 C8 scW","yaa2025_L20250601-1_024_S237_rawCounts","CMVS","zt_2","1"
"YAD8 ZT2 C8 scW","yaa2025_L20250601-1_025_S192_rawCounts","CMVS","zt_2","1"
"YAD8 ZT2 C4 scW","yaa2025_L20250601-1_026_S213_rawCounts","CMVS","zt_2","1"
"YAD3 ZT2 E22 scW","yaa2025_L20250601-1_027_S277_rawCounts","CSDS","zt_2","1"
"YAD3 ZT2 E13 scW","yaa2025_L20250601-1_028_S196_rawCounts","CSDS","zt_2","1"
"YAD8 ZT2 E12 scW","yaa2025_L20250601-1_029_S203_rawCounts","CSDS","zt_2","1"
"YAD4 ZT2 E12 scW","yaa2025_L20250601-1_030_S247_rawCounts","CSDS","zt_2","1"
"yad4 ZT2 E24 scW","yaa2025_L20250601-1_031_S209_rawCounts","CSDS","zt_2","1"
"YAD4 ZT2 E8 scW","yaa2025_L20250601-1_032_S284_rawCounts","CSDS","zt_2","1"
"YAD5 ZT18 HC2 scW","yaa2025_L20250601-1_033_S263_rawCounts","Control","zt_18","1"
"YAD5 ZT18 HC5 scW","yaa2025_L20250601-1_034_S225_rawCounts","Control","zt_18","1"
"YAD5 ZT18 HC7 scW","yaa2025_L20250601-1_035_S206_rawCounts","Control","zt_18","1"
"YAD5 ZT18 HC6 scW","yaa2025_L20250601-1_036_S212_rawCounts","Control","zt_18","1"
"YAD3 ZT18 HC6 scW","yaa2025_L20250601-1_037_S219_rawCounts","Control","zt_18","1"
"YAD5 ZT18 C8 scW","yaa2025_L20250601-1_038_S246_rawCounts","CMVS","zt_18","1"
"YAD5 ZT18 C3 scW","yaa2025_L20250601-1_039_S232_rawCounts","CMVS","zt_18","1"
"YAD5 ZT18 C4 scW","yaa2025_L20250601-1_040_S208_rawCounts","CMVS","zt_18","1"
"YAD3 ZT18 C5 scW","yaa2025_L20250601-1_041_S252_rawCounts","CMVS","zt_18","1"
"YAD5 ZT18 C7 scW","yaa2025_L20250601-1_042_S259_rawCounts","CMVS","zt_18","1"
"YAD5 ZT18 E23 scW","yaa2025_L20250601-1_043_S272_rawCounts","CSDS","zt_18","1"
"YAD5 ZT18 E10 scW","yaa2025_L20250601-1_044_S253_rawCounts","CSDS","zt_18","1"
"YAD5 ZT18 E22 scW","yaa2025_L20250601-1_045_S207_rawCounts","CSDS","zt_18","1"
"YAD3 ZT18 E9 scW","yaa2025_L20250601-1_046_S266_rawCounts","CSDS","zt_18","1"
"YAD5 ZT18 E20 scW","yaa2025_L20250601-1_047_S257_rawCounts","CSDS","zt_18","1"
"YAD3 ZT18 E19 scW","yaa2025_L20250601-1_048_S198_rawCounts","CSDS","zt_18","1"
"YAD6 ZT6 HC5","yaa2025_L20250601-1_049_S236_rawCounts","Control","zt_6","2"
"YAD6 ZT6 HC6","yaa2025_L20250601-1_050_S193_rawCounts","Control","zt_6","2"
"YAD7 ZT6 HC10","yaa2025_L20250601-1_051_S243_rawCounts","Control","zt_6","2"
"YAD8 ZT6 HC6","yaa2025_L20250601-1_052_S230_rawCounts","Control","zt_6","2"
"YAD8 ZT6 HC5","yaa2025_L20250601-1_053_S249_rawCounts","Control","zt_6","2"
"YAD6 ZT6 C4","yaa2025_L20250601-1_054_S270_rawCounts","CMVS","zt_6","2"
"YAD6 ZT6 C7","yaa2025_L20250601-1_055_S194_rawCounts","CMVS","zt_6","2"
