"Sample.name","Filename","Group","Timepoint","Batch"
"YAD5 ZT10 HC1 vW","yaa2025_L20250601-1_097_S174_rawCounts","Control","zt_10","1"
"YAD3 ZT10 HC5 vW","yaa2025_L20250601-1_098_S187_rawCounts","Control","zt_10","1"
"YAD3 ZT10 HC1 vW","yaa2025_L20250601-1_099_S137_rawCounts","Control","zt_10","1"
"YAD7 ZT10 HC12","yaa2025_L20250601-1_100_S101_rawCounts","Control","zt_10","1"
"YAD7 ZT10 HC13","yaa2025_L20250601-1_101_S129_rawCounts","Control","zt_10","1"
"YAD3 ZT10 C2 vW NEW","yaa2025_L20250601-1_102_S128_rawCounts","CMVS","zt_10","1"
"YAD4 ZT10 C2 vW","yaa2025_L20250601-1_103_S134_rawCounts","CMVS","zt_10","1"
"YAD4 ZT10 C1 vW","yaa2025_L20250601-1_105_S146_rawCounts","CMVS","zt_10","1"
"YAD5 ZT10 C1 vW","yaa2025_L20250601-1_106_S184_rawCounts","CMVS","zt_10","1"
"YAD3 ZT10 E1 vW NEW","yaa2025_L20250601-1_107_S191_rawCounts","CSDS","zt_10","1"
"YAD4 ZT10 E7 vW","yaa2025_L20250601-1_108_S167_rawCounts","CSDS","zt_10","1"
"YAD4 ZT10 E9 vW","yaa2025_L20250601-1_109_S173_rawCounts","CSDS","zt_10","1"
"YAD3 ZT10 E3 vW","yaa2025_L20250601-1_110_S186_rawCounts","CSDS","zt_10","1"
"YAD5 ZT10 E4 vW","yaa2025_L20250601-1_111_S180_rawCounts","CSDS","zt_10","1"
"YAD5 ZT10 E2 vW","yaa2025_L20250601-1_112_S99_rawCounts","CSDS","zt_10","1"
"YAD4 ZT2 HC8 vW","yaa2025_L20250601-1_113_S183_rawCounts","Control","zt_2","1"
"YAD3 ZT2 HC7 vW","yaa2025_L20250601-1_114_S103_rawCounts","Control","zt_2","1"
"YAD4 ZT2 HC7 vW","yaa2025_L20250601-1_115_S108_rawCounts","Control","zt_2","1"
"YAD8 ZT2 HC2 vW","yaa2025_L20250601-1_116_S145_rawCounts","Control","zt_2","1"
"YAD8 ZT2 HC3 vW","yaa2025_L20250601-1_117_S116_rawCounts","Control","zt_2","1"
"YAD4 ZT2 C4 vW NEW","yaa2025_L20250601-1_118_S161_rawCounts","CMVS","zt_2","1"
"YAD4 ZT2 C7 vW","yaa2025_L20250601-1_119_S155_rawCounts","CMVS","zt_2","1"
"YAD4 ZT2 C8 vW","yaa2025_L20250601-1_120_S142_rawCounts","CMVS","zt_2","1"
